value,reading,date,time,label
1,motion detected,4/28/15,10:00:20,1430215220
2,motion detected,4/28/15,10:00:35,1430215235
3,motion detected,4/28/15,10:00:50,1430215250
4,motion detected,4/28/15,10:01:31,1430215291
5,motion detected,4/28/15,10:02:49,1430215369
6,motion detected,4/28/15,10:03:40,1430215420
7,motion detected,4/28/15,10:06:01,1430215561
8,motion detected,4/28/15,10:06:25,1430215585
9,motion detected,4/28/15,10:06:44,1430215604
10,motion detected,4/28/15,10:07:38,1430215658
11,motion detected,4/28/15,10:08:41,1430215721
12,motion detected,4/28/15,10:09:45,1430215785
13,motion detected,4/28/15,10:10:04,1430215804
14,motion detected,4/28/15,10:11:09,1430215869
15,motion detected,4/28/15,10:12:01,1430215921
16,motion detected,4/28/15,10:13:21,1430216001
17,motion detected,4/28/15,10:13:58,1430216038
18,motion detected,4/28/15,10:31:27,1430217087
19,motion detected,4/28/15,10:32:04,1430217124
20,motion detected,4/28/15,10:51:27,1430218287
21,motion detected,4/28/15,10:52:15,1430218335
22,motion detected,4/28/15,11:19:51,1430219991
23,motion detected,4/28/15,11:20:18,1430220018
24,motion detected,4/28/15,11:21:01,1430220061
25,motion detected,4/28/15,11:21:40,1430220100
26,motion detected,4/28/15,11:22:15,1430220135
27,motion detected,4/28/15,11:23:26,1430220206
28,motion detected,4/28/15,11:23:42,1430220222
29,motion detected,4/28/15,11:23:55,1430220235
30,motion detected,4/28/15,11:24:44,1430220284
31,motion detected,4/28/15,11:25:57,1430220357
32,motion detected,4/28/15,11:27:07,1430220427
33,motion detected,4/28/15,11:29:47,1430220587
34,motion detected,4/28/15,11:30:31,1430220631
35,motion detected,4/28/15,11:31:29,1430220689
36,motion detected,4/28/15,11:32:29,1430220749
37,motion detected,4/28/15,11:32:52,1430220772
38,motion detected,4/28/15,11:33:20,1430220800
39,motion detected,4/28/15,11:33:54,1430220834
40,motion detected,4/28/15,11:44:21,1430221461
41,motion detected,4/28/15,11:44:53,1430221493
42,motion detected,4/28/15,11:45:33,1430221533
43,motion detected,4/28/15,11:51:53,1430221913
44,motion detected,4/28/15,11:52:19,1430221939
45,motion detected,4/28/15,12:30:16,1430224216
46,motion detected,4/28/15,12:30:42,1430224242
47,motion detected,4/28/15,12:30:53,1430224253
48,motion detected,4/28/15,12:31:02,1430224262
49,motion detected,4/28/15,12:55:58,1430225758
50,motion detected,4/28/15,12:56:27,1430225787
51,motion detected,4/28/15,12:56:38,1430225798
52,motion detected,4/28/15,12:59:05,1430225945
53,motion detected,4/28/15,12:59:51,1430225991
54,motion detected,4/28/15,13:00:21,1430226021
55,motion detected,4/28/15,14:40:32,1430232032
56,motion detected,4/28/15,14:40:54,1430232054
57,motion detected,4/28/15,15:00:48,1430233248
58,motion detected,4/28/15,15:03:09,1430233389
59,motion detected,4/28/15,15:07:20,1430233640
60,motion detected,4/28/15,15:07:59,1430233679
61,motion detected,4/28/15,15:08:51,1430233731
62,motion detected,4/28/15,15:09:35,1430233775
63,motion detected,4/28/15,15:12:33,1430233953
64,motion detected,4/28/15,15:20:27,1430234427
65,motion detected,4/28/15,15:21:09,1430234469
66,motion detected,4/28/15,15:21:34,1430234494
67,motion detected,4/28/15,15:22:42,1430234562
68,motion detected,4/28/15,15:28:45,1430234925
69,motion detected,4/28/15,15:29:19,1430234959
70,motion detected,4/28/15,15:34:52,1430235292
71,motion detected,4/28/15,15:35:41,1430235341
72,motion detected,4/28/15,15:37:17,1430235437
73,motion detected,4/28/15,15:38:19,1430235499
74,motion detected,4/28/15,15:38:29,1430235509
75,motion detected,4/28/15,15:38:48,1430235528
76,motion detected,4/28/15,15:40:55,1430235655
77,motion detected,4/28/15,15:42:13,1430235733
78,motion detected,4/28/15,15:44:05,1430235845
79,motion detected,4/28/15,15:45:27,1430235927
80,motion detected,4/28/15,15:48:00,1430236080
81,motion detected,4/28/15,15:49:12,1430236152
82,motion detected,4/28/15,15:49:35,1430236175
83,motion detected,4/28/15,15:49:44,1430236184
84,motion detected,4/28/15,15:56:19,1430236579
85,motion detected,4/28/15,15:57:10,1430236630
86,motion detected,4/28/15,15:58:43,1430236723
87,motion detected,4/28/15,15:59:11,1430236751
